global_number,chapter,chapter_question_number,answer,answer_text,source_pages
1,第三章 機器學習基礎數學,1,C,機率密度函數（PDF）,3-28–3-31
2,第三章 機器學習基礎數學,2,B,0 或1,3-28–3-31
3,第三章 機器學習基礎數學,3,C,特徵值分解（Eigenvalue Decomposition）,3-28–3-31
4,第三章 機器學習基礎數學,4,C,主成分分析（PCA）,3-28–3-31
5,第三章 機器學習基礎數學,5,C,損失函數對參數的偏微分,3-28–3-31
6,第三章 機器學習基礎數學,6,C,拒絕虛無假設時所容許的型一錯誤機率,3-28–3-31
7,第三章 機器學習基礎數學,7,D,中位數,3-28–3-31
8,第三章 機器學習基礎數學,8,B,Adagrad,3-28–3-31
9,第三章 機器學習基礎數學,9,B,梯度裁剪（Gradient Clipping）,3-28–3-31
10,第三章 機器學習基礎數學,10,C,伯努利分佈,3-28–3-31
11,第四章 機器學習與深度學習,1,C,非監督式學習（Unsupervised Learning）,4-93–4-96
12,第四章 機器學習與深度學習,2,B,迴歸（Regression）,4-93–4-96
13,第四章 機器學習與深度學習,3,C,"卷積神經網路（Convolutional Neural Network, CNN）",4-93–4-96
14,第四章 機器學習與深度學習,4,D,Support Vector Regression,4-93–4-96
15,第四章 機器學習與深度學習,5,B,過擬合（Overfitting）,4-93–4-96
16,第四章 機器學習與深度學習,6,B,激活函數（Activation Function）,4-93–4-96
17,第四章 機器學習與深度學習,7,C,正則化（Regularization）,4-93–4-96
18,第四章 機器學習與深度學習,8,C,損失函數（Loss Function）,4-93–4-96
19,第四章 機器學習與深度學習,9,B,注意力機制（Attention）,4-93–4-96
20,第四章 機器學習與深度學習,10,C,基尼不純度（Gini Impurity）,4-93–4-96
21,第五章 機器學習建模與參數調校,1,C,預測模型填補（Predictive Imputation）,5-53–5-57
22,第五章 機器學習建模與參數調校,2,B,四分位距法（IQR）,5-53–5-57
23,第五章 機器學習建模與參數調校,3,C,Embedded 方法,5-53–5-57
24,第五章 機器學習建模與參數調校,4,B,對數轉換（Log Transform）,5-53–5-57
25,第五章 機器學習建模與參數調校,5,C,過擬合,5-53–5-57
26,第五章 機器學習建模與參數調校,6,C,LOOCV,5-53–5-57
27,第五章 機器學習建模與參數調校,7,B,Dropout,5-53–5-57
28,第五章 機器學習建模與參數調校,8,C,將大型模型的知識轉移至小型模型,5-53–5-57
29,第五章 機器學習建模與參數調校,9,B,Adagrad,5-53–5-57
30,第五章 機器學習建模與參數調校,10,C,類別變數具有高基數（High Cardinality）,5-53–5-57
31,第六章 機器學習治理,1,C,姓名、電子郵件地址、身分證字號,6-26–6-30
32,第六章 機器學習治理,2,B,強化匿名化技術,6-26–6-30
33,第六章 機器學習治理,3,B,結果門檻調整,6-26–6-30
34,第六章 機器學習治理,4,A,Equal Opportunity,6-26–6-30
35,第六章 機器學習治理,5,A,對抗式去偏模型（Adversarial Fairness）,6-26–6-30
36,第六章 機器學習治理,6,C,類別重加權（Class Weighting）,6-26–6-30
37,第六章 機器學習治理,7,A,機率分佈差異造成的識別風險,6-26–6-30
38,第六章 機器學習治理,8,C,公平性審查委員會,6-26–6-30
39,第六章 機器學習治理,9,A,SMOTE,6-26–6-30
40,第六章 機器學習治理,10,C,知識蒸餾（Knowledge Distillation）,6-26–6-30
